temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,prophet,interval,prophet_start,prophet_end
Helena Montana Temple,1,1,1,9794,4.75,5,0,5,NA,1,Attached,No,2021-04-04,2021-06-26,2023-06-18,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Helsinki Finland Temple,2,2,1,16350,7.4,4,2,6,87.1,1,Attached,Yes,2000-04-02,2003-03-29,2006-10-22,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Hermosillo Sonora Mexico Temple,2,2,1,10769,1.54,9,7,16,758.8,1,Attached,Yes,1998-07-20,1998-12-05,2000-02-27,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Hong Kong China Temple,2,2,1,51921,0.31,6,7,13,102,1,Attached,No,1992-10-03,1994-01-22,1996-05-26,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Houston Texas Temple,2,3,1,33970,11,22,0,22,116.2,1,Attached,Yes,1997-09-30,1998-06-13,2000-08-26,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Huehuetenango Guatemala Temple,1,1,1,10787,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Idaho Falls Idaho Temple,4,7,1,85624,8.28,29,0,29,NA,1,Attached,Yes,1937-03-03,1939-12-19,1945-09-23,Heber J. Grant,1918-11-23 UTC--1945-05-14 UTC,1918-11-23T00:00:00Z,1945-05-14T00:00:00Z
Indianapolis Indiana Temple,2,2,1,34000,18.11,10,0,10,849.9,1,Attached,Yes,2010-10-02,2012-09-29,2015-08-23,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Johannesburg South Africa Temple,4,3,1,19184,1,35,31,66,NA,6,Detached,Yes,1981-04-01,1982-11-27,1985-08-24,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Jordan River Utah Temple,6,16,1,148236,15,64,0,64,NA,1,Attached,Yes,1978-02-03,1979-06-09,1981-11-16,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Kansas City Missouri Temple,2,3,1,32000,8.05,10,0,10,875.7,2,Attached,Yes,2008-10-04,2010-05-08,2012-05-06,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Kaohsiung Taiwan Temple,1,1,1,10900,1.26,NA,NA,NA,28.7,1,Attached,No,2021-10-03,2023-11-25,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
